# Whinnery & Forster (2013) "+Gz-induced loss of consciousness curve" bin-aggregate statistics.
# Source: PMC3710154 / DOI 10.1186/2046-7648-2-19 (open access). Verbatim transcription
# of Tables 1, 2, 3 from the published paper, retrieved 2026-05-16 via Europe PMC.
# Total dataset: 888 G-LOC episodes from healthy humans (1978-1992).
# Repository anonymized at source — no individual-record table exists.
#
# Columns:
#   table_id:      1 = ROR by +Gz level; 2 = ROR by onset rate; 3 = GOR by +Gz level
#   bin_label:     verbatim bin label from the paper
#   regime:        "ROR" (rapid onset, >= 1 G/s) or "GOR" (gradual onset, <= 0.2 G/s)
#   gz_lo, gz_hi:  +Gz band lower/upper (NaN where not applicable, e.g. Table 2)
#   onset_lo, onset_hi: onset-rate band lower/upper (NaN where not applicable, e.g. Tables 1/3)
#   n:             episode count in the bin
#   mean_s, sd_s, min_s, max_s, median_s: LOCINDTI bin statistics in seconds
table_id,bin_label,regime,gz_lo,gz_hi,onset_lo,onset_hi,n,mean_s,sd_s,min_s,max_s,median_s
1,"9 +Gz",ROR,9.0,9.0,1.0,,164,9.20,2.60,6,20,9
1,"8 to <9 +Gz",ROR,8.0,9.0,1.0,,97,9.00,2.15,5,18,9
1,"7 to <8 +Gz",ROR,7.0,8.0,1.0,,70,9.64,3.29,5,22,9
1,"6 to <7 +Gz",ROR,6.0,7.0,1.0,,49,10.61,4.59,5,33,10
1,"5 to <6 +Gz",ROR,5.0,6.0,1.0,,8,11.5,4.21,6,17,11.5
1,"4 to <5 +Gz",ROR,4.0,5.0,1.0,,10,12.3,2.95,6,15,13.5
1,"2.5 to <4 +Gz",ROR,2.5,4.0,1.0,,8,17.13,7.26,12,32,14
2,">=4 G/s",ROR,,,4.0,,8,9.13,3.14,5,14,8.5
2,"3 to <4 G/s",ROR,,,3.0,4.0,120,8.83,2.52,5,20,8
2,"2 to <3 G/s",ROR,,,2.0,3.0,129,8.68,2.18,5,16,8
2,"1 to <2 G/s",ROR,,,1.0,2.0,134,9.75,2.35,5,20,9
3,"9 +Gz",GOR,9.0,9.0,,0.2,19,92.63,2.79,93,93,93
3,"8 to <9 +Gz",GOR,8.0,9.0,,0.2,98,85.06,6.47,65,95,86
3,"7 to <8 +Gz",GOR,7.0,8.0,,0.2,68,74.51,11.26,56,106,76
3,"6 to <7 +Gz",GOR,6.0,7.0,,0.2,55,67.51,12.31,48,96,65
3,"5 to <6 +Gz",GOR,5.0,6.0,,0.2,40,57.78,13.96,36,78,57.5
3,"3.6 to 5 +Gz",GOR,3.6,5.0,,0.2,13,53.0,9.56,38,65,56
